school_num,school,school_typ,address,city,zipcode,magnet,grdlevl,x,y,mag_focus,schl_stat
4429,GOVERNORS VILLAGE,MIDDLE,7810 Neal Road,Charlotte,28262,Partial,5-8,1470470.99714,567754.996901,STEM,Current
7205,JT WILLIAMS SECONDARY MONTESSORI,HIGH,2400 Carmine Street,Charlotte,28206,Full,9-12,1450218.00451,557141.993848,Montessori,Current
5582,JT WILLIAMS SECONDARY MONTESSORI,MIDDLE,2400 Carmine Street,Charlotte,28206,Full,7-8,1450218.00451,557141.993848,Montessori,Current
5434,KENNEDY,MIDDLE,4000 Gallant Lane,Charlotte,28273,Partial,6-8,1415395.00329,516513.992427,STEM,Current
4436,LAKE WYLIE,ELEMENTARY,13620 Erwin Road,Charlotte,28273,Non Magnet,PreK-5,1410420.00405,502775.994969,NA,Current
4438,LANSDOWNE,ELEMENTARY,6400 Prett Court,Charlotte,28270,Partial,K-5,1467290.99267,511778.99632,International Baccalaureate,Current
4408,LAWRENCE ORR,ELEMENTARY,4835 Shamrock Drive,Charlotte,28215,Non Magnet,K-5,1479214.99343,541706.996503,NA,Current
4440,LEBANON ROAD,ELEMENTARY,7300 Lebanon Road,Charlotte,28227,Non Magnet,PreK-5,1495224.99914,526227.994325,NA,Current
4444,LONG CREEK,ELEMENTARY,9213 Beatties Ford Road,Huntersville,28078,Partial,PreK-5,1436124.00415,587434.998879,Visual & Performing Arts,Current
7445,MALLARD CREEK,HIGH,3825 Johnston Oehler Road,Charlotte,28269,Non Magnet,9-12,1472372.99695,592611.997711,NA,Current
4446,MALLARD CREEK,ELEMENTARY,9801 Mallard Creek Road,Charlotte,28269,Partial,K-5,1470912.99265,581733.995517,Learning Immersion & Talent Development,Current
7290,HAWTHORNE MILITARY AND GLOBAL LEADERSHIP,HIGH,1411 Hawthorne Lane,Charlotte,28205,Full,9-12,1458184.00203,543184.997812,"Military, Global Leadership & Public Safety",Current
8364,MARIE G. DAVIS,MIDDLE,3351 Griffith Street,Charlotte,28203,Partial,6-8,1439426.00214,533878.993458,International Baccalaureate,Current
8364,MARIE G. DAVIS,ELEMENTARY,3351 Griffith Street,Charlotte,28203,Partial,K-5,1439426.00214,533878.993458,International Baccalaureate,Current
5448,MARTIN LUTHER KING JR.,MIDDLE,500 Bilmark Avenue,Charlotte,28213,Non Magnet,6-8,1469127.99753,555503.995156,NA,Current
4447,MATTHEWS,ELEMENTARY,200 E. McDowell Street,Matthews,28105,Non Magnet,K-5,1484636.99932,500589.994092,NA,Current
4449,MCALPINE,ELEMENTARY,9100 Carswell Lane,Charlotte,28277,Non Magnet,PreK-5,1453094.00105,489740.99348,NA,Current
5450,MCCLINTOCK,MIDDLE,1925 Rama Road,Charlotte,28212,Partial,6-8,1471509.99637,525055.996669,STEAM,Current
4451,MCKEE ROAD,ELEMENTARY,4101 McKee Road,Charlotte,28270,Non Magnet,K-5,1474930.99445,484373.99798,NA,Current
4453,MERRY OAKS INTERNATIONAL ACADEMY,ELEMENTARY,3508 Draper Avenue,Charlotte,28205,Non Magnet,K-5,1467568.99999,539156.996026,NA,Current
7404,HARPER MIDDLE COLLEGE AT CPCC,HIGH,315 W Hebron Street,Charlotte,28273,SchoolOption,11-13,1433264.00167,507521.996304,Early & Middle Colleges,Current
7443,LEVINE MIDDLE COLLEGE AT CPCC,HIGH,2728 Campus Ridge Road,Matthews,28105,SchoolOption,11-13,1493729.99885,498368.997549,Early & Middle Colleges,Current
7594,MERANCAS MIDDLE COLLEGE AT CPCC,HIGH,11930 Verhoeff Drive,Charlotte,28078,SchoolOption,11-13,1451500.00031,602975.995684,Early & Middle Colleges,Current
5455,MINT HILL,MIDDLE,11501 Idlewild Road,Matthews,28105,Non Magnet,6-8,1492407.99657,515039.997344,NA,Current
4459,MONTCLAIRE,ELEMENTARY,5801 Farmbrook Drive,Charlotte,28210,Non Magnet,K-5,1442074.00538,515525.997684,NA,Current
4462,MOUNTAIN ISLAND LAKE ACADEMY,MIDDLE,7905 Pleasant Grove Road,Charlotte,28216,Non Magnet,6-8,1424737.00101,572624.994378,NA,Current
4462,MOUNTAIN ISLAND LAKE ACADEMY,ELEMENTARY,7905 Pleasant Grove Road,Charlotte,28216,Non Magnet,PreK-5,1424737.00101,572624.994378,NA,Current
7466,MYERS PARK,HIGH,2400 Colony Road,Charlotte,28209,Non Magnet,9-12,1452141.00165,522180.997826,NA,Current
4464,MYERS PARK TRADITIONAL,ELEMENTARY,2132 Radcliffe Avenue,Charlotte,28207,Full,K-5,1452006.00028,529378.996881,Leadership,Current
4468,GOVERNORS VILLAGE,ELEMENTARY,7910 Neal Road,Charlotte,28262,Partial,K-4,1470435.99426,568405.998223,STEM,Current
4471,NATIONS FORD,ELEMENTARY,8300 Nations Ford Road,Charlotte,28217,Non Magnet,K-5,1433460.00719,511376.992859,NA,Current
4474,NEWELL,ELEMENTARY,325 W Rocky River Road,Charlotte,28213,Non Magnet,K-5,1476597.99473,563905.994428,NA,Current
7480,NORTH MECKLENBURG,HIGH,11201 Old Statesville Road,Huntersville,28078,Partial,9-12,1453429.00629,595667.998489,"STEM, Entrepreneurship, International Baccalaureate, World Languages",Current
5479,NORTHEAST,MIDDLE,5960 Brickstone Drive,Charlotte,28227,Partial,6-8,1494582.99977,531327.99528,Computer Science,Current
5481,NORTHRIDGE,MIDDLE,7601 The Plaza,Charlotte,28215,Partial,6-8,1483535.99824,554047.996756,Computer Science,Current
8482,NORTHWEST SCHOOL OF THE ARTS,HIGH,1415 Beatties Ford Road,Charlotte,28216,Full,9-12,1445880.00072,553578.995069,Visual & Performing Arts,Current
8482,NORTHWEST SCHOOL OF THE ARTS,MIDDLE,1415 Beatties Ford Road,Charlotte,28216,Full,6-8,1445880.00072,553578.995069,Visual & Performing Arts,Current
4485,OAKDALE,ELEMENTARY,1825 Oakdale Road,Charlotte,28216,Non Magnet,K-5,1434028.00178,569680.994689,NA,Current
4484,OAKHURST STEAM ACADEMY,ELEMENTARY,4511 Monroe Road,Charlotte,28205,Partial,K-5,1467018.99453,530616.995061,STEM,Current
4488,OAKLAWN LANGUAGE ACADEMY,MIDDLE,1810 Oaklawn Avenue,Charlotte,28216,Full,6-8,1447686.00072,551448.994736,World Languages,Current
4488,OAKLAWN LANGUAGE ACADEMY,ELEMENTARY,1810 Oaklawn Avenue,Charlotte,28216,Full,K-5,1447686.00072,551448.994736,World Languages,Current
4491,OLDE PROVIDENCE,ELEMENTARY,3800 Rea Road,Charlotte,28226,Non Magnet,K-5,1462160.99965,500073.994139,NA,Current
7490,OLYMPIC,HIGH,4301 Sandy Porter Road,Charlotte,28273,Non Magnet,9-12,1416498.00732,518155.997017,NA,Current
4493,PALISADES PARK,ELEMENTARY,15321 York Road,Charlotte,28278,Non Magnet,K-5,1394092.00653,495211.993365,NA,Current
4492,PARK ROAD MONTESSORI,ELEMENTARY,3701 Haven Drive,Charlotte,28209,Full,PreK-6,1447598.00516,524759.992668,Montessori,Current
4409,PARKSIDE,ELEMENTARY,2945 Johnston-Oehler Road,Charlotte,28269,Non Magnet,K-5,1474991.9986,590898.996872,NA,Current
4494,PAW CREEK,ELEMENTARY,1300 Cathey Road,Charlotte,28214,Partial,K-5,1419565.00578,566568.993695,Computer Science,Current
7498,PERFORMANCE LEARNING CENTER,HIGH,2300 W Sugar Creek Road,Charlotte,28262,Non Magnet,9-12,1463958.9954,567147.993193,Blended & Virtual Learning,Current
5497,PIEDMONT,MIDDLE,1241 East 10th Street,Charlotte,28204,Full,6-8,1455254.00067,541126.998976,International Baccalaureate,Current
4500,PINEVILLE,ELEMENTARY,210 Lowery Street,Pineville,28134,Non Magnet,K-5,1434723.00105,489963.997955,NA,Current
4501,PINEWOOD,ELEMENTARY,805 Seneca Place,Charlotte,28210,Non Magnet,K-5,1442868.0051,520580.995776,NA,Current
4503,PINEY GROVE,ELEMENTARY,8801 Eaglewind Drive,Charlotte,28212,Non Magnet,PreK-5,1482788.99711,522529.994175,NA,Current
4392,POLO RIDGE,ELEMENTARY,11830 Tom Short Road,Charlotte,28277,Non Magnet,K-5,1462872.99757,476754.993533,NA,Current
7508,PROVIDENCE,HIGH,1800 Pineville-Matthews Road,Charlotte,28270,Non Magnet,9-12,1472620.99743,499717.998788,NA,Current
4507,PROVIDENCE SPRING,ELEMENTARY,10045 Providence Church Lane,Charlotte,28277,Non Magnet,K-5,1470487.99612,486125.992836,NA,Current
5509,QUAIL HOLLOW,MIDDLE,2901 Smithfield Church Road,Charlotte,28210,Partial,6-8,1445682.00702,501403.993448,Leadership,Current
4512,RAMA ROAD,ELEMENTARY,1035 Rama Road,Charlotte,28211,Non Magnet,K-5,1470465.99354,521359.999468,NA,Current
5513,RANDOLPH,MIDDLE,4400 Water Oak Road,Charlotte,28211,Full,6-8,1463839.99498,526788.99714,International Baccalaureate,Current
5514,RANSON,MIDDLE,5850 Statesville Road,Charlotte,28269,Partial,6-8,1451428.00603,569283.995155,International Baccalaureate,Current
4516,REEDY CREEK,ELEMENTARY,10801 Plaza Road Extension,Charlotte,28215,Non Magnet,K-5,1497144.99563,553882.995773,NA,Current
4517,REID PARK ACADEMY,ELEMENTARY,4108 West Tyvola Road,Charlotte,28208,Non Magnet,K-5,1430915.00276,534977.999134,NA,Current
4515,RENAISSANCE WEST,ELEMENTARY,3241 New Renaissance Way,Charlotte,28208,Non Magnet,PreK-5,1426279.00711,536143.995162,NA,Current
5518,RIDGE ROAD,MIDDLE,7260 Highland Creek Parkway,Charlotte,28269,Non Magnet,6-8,1474854.99428,596569.993404,NA,Current
4590,RIVER GATE,ELEMENTARY,15340 Smith Road,Charlotte,28273,Non Magnet,K-5,1408653.00562,492719.99638,NA,Current
4463,RIVER OAKS ACADEMY,ELEMENTARY,1015 Mt. Holly-Huntersville Road,Charlotte,28214,Non Magnet,K-5,1409727.00019,573033.997169,NA,Current
7457,ROCKY RIVER,HIGH,10505 Clear Creek Commerce Drive,Mint Hill,28227,Non Magnet,9-12,1510096.99794,536896.997921,NA,Current
5520,SEDGEFIELD,MIDDLE,2700 Dorchester Place,Charlotte,28209,Non Magnet,6-8,1445738.00035,531749.998373,NA,Current
4519,DILWORTH SEDGEFIELD CAMPUS,ELEMENTARY,715 Hartford Avenue,Charlotte,28209,Non Magnet,K-2,1443215.00605,529444.997405,NA,Current
4522,SELWYN,ELEMENTARY,2840 Colony Road,Charlotte,28211,Non Magnet,K-5,1451699.00647,521053.995815,NA,Current
4527,SHAMROCK GARDENS,ELEMENTARY,3301 Country Club Drive,Charlotte,28205,Partial,K-5,1465993.99363,544881.997371,Learning Immersion & Talent Development,Current
4530,SHARON,ELEMENTARY,4330 Foxcroft Road,Charlotte,28211,Non Magnet,K-5,1456811.00281,515595.99656,NA,Current
4534,SMITHFIELD,ELEMENTARY,3200 Smithfield Church Road,Charlotte,28210,Non Magnet,K-5,1446364.00566,500210.998459,NA,Current
5537,SOUTH CHARLOTTE,MIDDLE,8040 Strawberry Lane,Charlotte,28277,Non Magnet,6-8,1461814.99674,492774.999223,NA,Current
7535,SOUTH MECKLENBURG,HIGH,8900 Park Road,Charlotte,28210,Partial,9-12,1443929.00692,500005.998212,World Languages,Current
5538,SOUTHWEST,MIDDLE,13624 Steele Creek Road,Charlotte,28273,Non Magnet,6-8,1404619.0022,499900.996454,NA,Current
4545,STARMOUNT ACADEMY,ELEMENTARY,1600 Brookdale Avenue,Charlotte,28205,Non Magnet,K-5,1440827.00558,511036.998788,NA,Current
4546,STATESVILLE ROAD,ELEMENTARY,5521 Milhaven Lane,Charlotte,28269,Partial,K-5,1449027.82743,567783.546712,International Baccalaureate,Current
4549,STEELE CREEK,ELEMENTARY,4100 Gallant Lane,Charlotte,28273,Non Magnet,K-5,1415499.00013,517860.998264,NA,Current
4550,STERLING,ELEMENTARY,9601 China Grove Church Road,Pineville,28134,Non Magnet,K-5,1436311.00017,499394.996154,NA,Current
4521,STONEY CREEK,ELEMENTARY,14015 Mallard Roost Road,Charlotte,28262,Non Magnet,K-5,1485483.99861,586137.999505,NA,Current
4553,THOMASBORO ACADEMY,MIDDLE,538 Bradford Drive,Charlotte,28208,Non Magnet,6-8,1433239.00566,553302.998246,NA,Current
4553,THOMASBORO ACADEMY,ELEMENTARY,538 Bradford Drive,Charlotte,28208,Non Magnet,K-5,1433239.00566,553302.998246,NA,Current
4557,TORRENCE CREEK,ELEMENTARY,14550 Ranson Road,Huntersville,28078,Non Magnet,K-5,1442086.00076,610170.993761,NA,Current
4435,TRILLIUM SPRINGS MONTESSORI,ELEMENTARY,9213 Beatties Ford Road,Huntersville,28078,Full,PreK-6,1436124.00415,587434.998879,Montessori,Current
4562,TUCKASEEGEE,ELEMENTARY,2028 Little Rock Road,Charlotte,28214,Partial,K-5,1420264.00339,551467.996666,Learning Immersion & Talent Development,Current
4566,UNIVERSITY MEADOWS,ELEMENTARY,1600 Pavilion Boulevard,Charlotte,28262,Non Magnet,PreK-6,1488565.9931,574153.992633,NA,Current
4565,UNIVERSITY PARK,ELEMENTARY,2400 Hildebrand Street,Charlotte,28216,Full,K-5,1445042.00338,555091.999261,Visual & Performing Arts,Current
4593,VILLA HEIGHTS,ELEMENTARY,800 Everett Place,Charlotte,28205,Non Magnet,K-5,1458742.00452,546045.997996,NA,Current
7312,W.A. HOUGH,HIGH,12420 Bailey Road,Cornelius,28031,Non Magnet,9-12,1455708.00632,630310.995148,NA,Current
4574,WALTER G. BYERS,MIDDLE,1415 Hamilton Street,Charlotte,28206,Partial,6-8,1450292.00174,548790.999067,STEM,Current
4574,WALTER G. BYERS,ELEMENTARY,1415 Hamilton Street,Charlotte,28206,Non Magnet,K-5,1450292.00174,548790.999067,STEM,Current
7576,WEST CHARLOTTE,HIGH,2219 Senior Drive,Charlotte,28216,Partial,9-12,1445295.00714,556774.99327,International Baccalaureate,Current
7579,WEST MECKLENBURG,HIGH,7400 Tuckaseegee Road,Charlotte,28214,Non Magnet,9-12,1416989.00404,550652.999609,NA,Current
4577,WESTERLY HILLS,ELEMENTARY,4420 Denver Avenue,Charlotte,28208,Non Magnet,K-5,1429345.00032,544924.997285,NA,Current
5317,WHITEWATER,MIDDLE,10201 Running Rapids Road,Charlotte,28214,Partial,6-8,1405600.00549,564140.993958,Environmental Sustainability,Current
4318,WHITEWATER ACADEMY,ELEMENTARY,11600 White Rapids Road,Charlotte,28214,Non Magnet,K-5,1406029.00037,563942.993042,NA,Current
4586,WINDING SPRINGS,ELEMENTARY,6601 Horace Mann Road,Charlotte,28269,Non Magnet,K-5,1454451.00654,571502.995966,NA,Current
4587,WINDSOR PARK,ELEMENTARY,3910 Sudbury Road,Charlotte,28205,Non Magnet,K-5,1474441.99346,540791.99374,NA,Current
4588,WINGET PARK,ELEMENTARY,12235 Winget Road,Charlotte,28278,Partial,K-5,1401929.0043,508533.996576,STEM,Current
4589,WINTERFIELD,ELEMENTARY,3100 Winterfield Place,Charlotte,28205,Non Magnet,K-5,1472249.9985,535358.997716,NA,Current
7592,ZEBULON B. VANCE,HIGH,7600 IBM Drive,Charlotte,28262,Non Magnet,9-12,1472035.99631,568887.992994,NA,Current
5341,iMECK ACADEMY AT COCHRANE,HIGH,6200 Starhaven Drive,Charlotte,28215,Full,9-12,1477458.99235,549224.997543,Blended & Virtual Learning,Current
4303,CHARLOTTE EAST LANGUAGE ACADEMY,MIDDLE,6108 Wilora Lake Road,Charlotte,28212,Partial,6-7,1477971.57794,535685.667667,World Languages,Current
4515,RENAISSANCE WEST,MIDDLE,3241 New Renaissance Way,Charlotte,28208,Non Magnet,6-7,1426279.00711,536143.995162,NA,Current
4304,REA FARMS,ELEMENTARY,11532 Golf Links Drive,Charlotte,28277,Partial,K-4,1467656.66484,479503.642564,STEM,Future
4304,REA FARMS,MIDDLE,11532 Golf Links Drive,Charlotte,28277,Partial,6,1467656.66484,479503.642564,STEM,Future
